   T (°C)    T (K)         n     η (Pa·s)     τ_c (s)       q (m⁻¹)   D_theo (m²/s)    D_exp (m²/s)
     28.0   301.15   1.46127   1.6840e-01        0.0447    2.4407e+07      1.4084e-14      3.7517e-14
     29.0   302.15   1.46098   1.5724e-01        0.0357    2.4402e+07      1.5134e-14      4.7049e-14
     31.0   304.15   1.46038   1.3749e-01        0.0160    2.4392e+07      1.7423e-14      1.0485e-13
     34.0   307.15   1.45950   1.1321e-01        0.0135    2.4377e+07      2.1368e-14      1.2463e-13
     36.0   309.15   1.45890   9.9905e-02        0.0751    2.4367e+07      2.4371e-14      2.2424e-14
     38.0   311.15   1.45831   8.8469e-02        0.0542    2.4358e+07      2.7700e-14      3.1091e-14
     39.5   312.65   1.45792   8.0937e-02        0.0347    2.4351e+07      3.0424e-14      4.8561e-14
