Time_s,T_Probe_x0y0_degC,T_Pred_Pt1_degC,T_Pred_Pt2_degC
0.0,28.0,28.0,28.0
0.02708803611738149,28.0,28.0,28.0
0.05417607223476298,28.0,27.999983437556665,28.0
0.08126410835214447,28.0,27.999952866026753,28.0
0.10835214446952596,28.0,27.999910469894576,28.0
0.13544018058690743,28.0,27.999858117817023,28.0
0.16252821670428894,28.0,27.99979740800701,28.00000016297069
0.18961625282167044,27.999999999997197,27.999729707065466,28.000001065113256
0.21670428893905191,27.999999999979096,27.999656183211684,28.00000397969822
0.2437923250564334,27.99999999991224,27.999577834724047,28.000011157602202
0.27088036117381487,27.999999999726942,27.999495514285123,28.000026080412695
0.2979683972911964,27.999999999298737,27.99940994982416,28.000053671505306
0.32505643340857787,27.99999999842752,27.999321762363643,28.000100457508893
0.35214446952595935,27.9999999968153,27.99923148130301,28.000174677619324
0.3792325056433409,27.999999994043577,27.99913955750965,28.000286341748243
0.40632054176072235,27.999999989551135,27.999046374533613,28.000447240855806
0.43340857787810383,27.99999998261307,27.998952258216594,28.00067091429784
0.4604966139954853,27.99999997232159,27.998857484926578,28.00097257984173
0.4875846501128668,27.999999957569113,27.998762288615993,28.001369032347263
0.5146726862302483,27.99999993703396,27.99866686687269,28.00187851710482
0.5417607223476297,27.99999990916888,27.998571386108495,28.002520583581273
0.5688487584650113,27.999999872192554,27.998475986009243,28.003315924923314
0.5959367945823928,27.99999982408402,27.998380783352292,28.004286208071292
0.6230248306997742,27.999999762580057,27.998285875282182,28.00545389879013
0.6501128668171557,27.99999968517533,27.998191342122055,28.00684208536133
0.6772009029345373,27.999999589125185,27.998097249787282,28.008474304121588
0.7042889390519187,27.999999471450874,27.998003651858077,28.010374369507662
0.7313769751693002,27.999999328946956,27.997910591359815,28.012566210767872
0.7584650112866818,27.999999158190676,27.99781810229265,28.01507371704787
0.7855530474040632,27.99999895555304,27.99772621094614,28.017920592146332
0.8126410835214447,27.999998717211337,27.99763493702935,28.021130219885503
0.8397291196388261,27.999998439162876,27.99754429464264,28.024725540711565
0.8668171557562077,27.999998117239674,27.997454293113492,28.028728939875208
0.8939051918735892,27.999997747123885,27.997364937715577,28.033162147321267
0.9209932279909706,27.999997324363758,27.997276230287508,28.038046149196756
0.9480812641083521,27.999996844389905,27.99718816976536,28.043401110768514
0.9751693002257336,27.999996302531738,27.997100752641046,28.049246310373334
1.002257336343115,27.99999569403387,27.997013973356914,28.055600083948995
1.0293453724604966,27.999995014072365,27.996927824645436,28.062479779626262
